"扫描序号","扫描仪号","批次号","kh","xz1","xz2","xz3","xz4","xz5","xz6","xz7","xz8","xz9","xz10","xz11","xz12","xz13","xz14","xz15","xz16","xz17","xz18","xz19","xz20","xz21","xz22","xz23","xz24","xz25","xz26","xz27","xz28","xz29","xz30","xz31","xz32","xz33","xz34","xz35","xz36","xz37","xz38","xz39","xz40","p1"
000233,1,1048792,"200169","A","A","C","A","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","C","A","A","D","D","A","C","C","B","B","B","C","D","C","\C_IMAGES\200169_00_1_p1.TIF"
000234,1,1048792,"200224","A","A","C","D","C","B","B","D","B","C","A","C","C","A","B","A","A","C","A","B","D","C","A","D","D","B","D","A","B","D","C","A","C","A","B","C","C","B","D","C","\C_IMAGES\200224_00_1_p1.TIF"
000235,1,1048792,"200290","A","A","B","A","C","C","B","D","B","C","A","C","C","B","B","A","B","C","B","B","A","C","A","C","D","B","A","B","B","D","A","A","C","D","A","B","C","D","D","C","\C_IMAGES\200290_00_1_p1.TIF"
000072,1,1048634,"200009","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","A","D","B","D","A","B","D","B","A","C","C","B","B","C","C","D","A","\C_IMAGES\200009_00_1_p1.TIF"
000073,1,1048634,"200026","A","A","C","D","C","C","B","D","C","C","B","B","C","B","D","A","D","C","C","A","C","C","A","D","D","B","D","A","B","D","B","A","C","D","D","B","A","C","D","C","\C_IMAGES\200026_00_1_p1.TIF"
000074,1,1048634,"200029","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200029_00_1_p1.TIF"
000075,1,1048634,"200040","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","D","D","B","A","C","D","B","B","C","D","B","C","\C_IMAGES\200040_00_1_p1.TIF"
000076,1,1048634,"200046","A","A","C","D","C","C","B","D","C","C","A","C","C","B","B","A","D","C","B","B","B","C","A","C","D","B","B","A","B","D","B","A","C","C","B","B","C","C","D","A","\C_IMAGES\200046_00_1_p1.TIF"
000077,1,1048634,"200047","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","D","B","A","C","B","A","D","B","A","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200047_00_1_p1.TIF"
000065,1,1048634,"200050","A","A","C","A","C","C","B","A","C","C","A","C","C","B","D","C","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","C","D","A","C","D","B","B","\C_IMAGES\200050_00_1_p1.TIF"
000064,1,1048634,"200054","A","A","C","D","C","C","B","D","C","C","A","C","C","D","D","C","D","C","B","B","B","C","A","C","D","B","A","A","B","D","B","A","C","D","D","B","C","C","D","C","\C_IMAGES\200054_00_1_p1.TIF"
000063,1,1048634,"200055","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","C","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200055_00_1_p1.TIF"
000062,1,1048634,"200060","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","C","C","A","C","D","D","C","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200060_00_1_p1.TIF"
000061,1,1048634,"200067","A","A","C","D","A","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","C","C","A","C","D","D","C","A","B","D","B","A","C","C","D","B","A","A","D","A","\C_IMAGES\200067_00_1_p1.TIF"
000060,1,1048634,"200070","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","A","A","B","D","B","A","C","C","B","B","D","D","D","C","\C_IMAGES\200070_00_1_p1.TIF"
000066,1,1048634,"200071","A","A","A","A","C","B","A","D","C","C","A","C","C","B","B","C","D","C","B","B","A","C","A","C","D","D","A","A","A","D","C","A","C","C","B","B","C","C","D","C","\C_IMAGES\200071_00_1_p1.TIF"
000067,1,1048634,"200075","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","D","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200075_00_1_p1.TIF"
000068,1,1048634,"200084","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","D","D","B","C","A","B","D","B","A","C","C","B","C","D","C","D","D","\C_IMAGES\200084_00_1_p1.TIF"
000069,1,1048634,"200090","A","A","B","D","A","C","B","D","C","C","C","C","C","B","D","C","D","C","A","B","A","C","A","C","D","B","C","A","B","D","B","A","C","D","B","A","D","C","D","C","\C_IMAGES\200090_00_1_p1.TIF"
000070,1,1048634,"200091","A","A","C","D","C","D","B","D","C","C","A","C","D","B","B","B","A","C","B","B","A","C","A","C","D","B","A","A","B","D","B","A","C","C","B","B","A","C","D","C","\C_IMAGES\200091_00_1_p1.TIF"
000071,1,1048634,"200094","A","C","C","D","C","C","B","D","C","C","A","C","A","B","D","A","D","C","B","B","A","C","A","D","D","D","C","A","B","D","B","A","C","C","B","D","C","C","D","A","\C_IMAGES\200094_00_1_p1.TIF"
000012,1,1048580,"200097","A","A","A","D","D","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200097_00_1_p1.TIF"
000011,1,1048580,"200101","A","A","A","D","D","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","C","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200101_00_1_p1.TIF"
000010,1,1048580,"200102","A","A","C","A","C","C","B","D","C","C","B","C","C","B","B","A","D","C","B","B","A","C","A","B","D","B","C","A","B","D","B","A","C","D","D","B","C","A","C","C","\C_IMAGES\200102_00_1_p1.TIF"
000009,1,1048580,"200105","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","C","C","C","D","C","\C_IMAGES\200105_00_1_p1.TIF"
000003,1,1048577,"200106","A","A","A","A","C","B","B","D","A","C","B","D","C","D","B","A","C","A","B","D","C","D","A","A","D","A","B","D","C","C","C","A","B","B","D","C","C","D","B","B","\C_IMAGES\200106_00_1_p1.TIF"
000002,1,1048577,"200107","A","A","C","A","C","C","B","D","C","C","C","C","C","B","D","C","C","C","B","B","A","D","A","C","D","B","A","A","B","D","B","A","C","D","D","B","D","C","D","C","\C_IMAGES\200107_00_1_p1.TIF"
000059,1,1048634,"200111","A","B","C","A","","A","A","D","C","C","D","C","D","B","D","A","D","D","B","B","A","A","A","C","D","B","C","A","B","B","D","A","C","B","B","B","D","C","C","C","\C_IMAGES\200111_00_1_p1.TIF"
000058,1,1048634,"200112","A","B","A","D","C","C","B","D","B","C","D","C","C","B","B","C","A","C","B","A","C","C","A","D","D","B","A","A","B","D","C","A","B","D","A","B","C","C","D","C","\C_IMAGES\200112_00_1_p1.TIF"
000056,1,1048580,"200113","A","A","C","C","C","B","B","D","C","C","A","C","C","D","D","A","D","C","B","B","C","C","A","C","D","B","A","A","B","D","D","A","C","D","B","C","A","C","D","C","\C_IMAGES\200113_00_1_p1.TIF"
000026,1,1048580,"200114","A","A","C","A","C","C","B","D","B","C","A","C","C","B","B","A","D","C","B","B","C","C","A","C","D","B","A","A","B","D","B","A","C","C","B","B","A","B","D","A","\C_IMAGES\200114_00_1_p1.TIF"
000027,1,1048580,"200115","A","A","C","D","C","C","B","D","C","C","D","C","C","B","D","C","A","C","B","B","A","C","A","C","D","B","C","A","B","D","B","A","C","A","B","B","C","D","D","C","\C_IMAGES\200115_00_1_p1.TIF"
000025,1,1048580,"200117","A","A","C","D","C","B","B","D","C","B","C","C","C","A","D","C","C","C","B","B","A","C","A","B","D","B","B","A","B","D","B","A","C","B","D","B","D","C","C","B","\C_IMAGES\200117_00_1_p1.TIF"
000004,1,1048580,"200120","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","A","B","B","D","C","D","A","D","A","B","D","D","A","C","C","D","B","C","B","B","A","\C_IMAGES\200120_00_1_p1.TIF"
000001,1,1048577,"200121","A","A","D","D","D","C","B","D","C","C","A","C","B","D","B","A","D","C","B","B","B","C","A","C","D","B","B","A","B","D","B","A","C","C","A","C","C","D","B","C","\C_IMAGES\200121_00_1_p1.TIF"
000008,1,1048580,"200122","A","A","C","A","C","C","B","D","C","C","D","C","C","B","B","A","D","C","B","B","A","C","A","C","D","B","A","A","B","D","B","A","C","D","D","C","C","C","D","C","\C_IMAGES\200122_00_1_p1.TIF"
000007,1,1048580,"200126","A","A","C","C","B","C","B","D","C","C","A","C","C","D","D","A","C","B","B","D","C","C","A","C","D","B","A","A","B","D","D","A","C","D","B","C","A","C","D","C","\C_IMAGES\200126_00_1_p1.TIF"
000006,1,1048580,"200127","A","A","C","D","C","C","B","D","C","C","B","C","C","A","D","A","D","C","B","B","C","C","A","C","D","B","D","A","B","D","B","A","C","C","B","C","C","C","D","A","\C_IMAGES\200127_00_1_p1.TIF"
000005,1,1048580,"200129","A","A","A","C","C","C","B","D","C","C","B","C","C","D","D","A","D","C","B","B","B","C","A","B","D","B","A","A","B","D","C","A","C","D","B","C","D","C","B","C","\C_IMAGES\200129_00_1_p1.TIF"
000081,1,1048634,"200130","A","B","B","D","D","C","C","D","C","C","B","C","C","A","D","A","D","C","B","B","B","C","A","C","C","D","C","A","B","D","D","A","C","C","B","C","C","C","D","B","\C_IMAGES\200130_00_1_p1.TIF"
000080,1,1048634,"200131","A","A","C","D","C","A","B","D","C","C","C","C","C","C","B","C","D","C","B","B","A","C","A","D","D","B","A","A","C","D","B","A","C","D","B","B","D","B","C","A","\C_IMAGES\200131_00_1_p1.TIF"
000079,1,1048634,"200132","A","A","C","D","C","A","B","D","C","C","C","C","C","C","B","C","D","C","B","B","A","C","A","D","D","D","A","A","B","A","B","A","C","C","D","B","D","C","D","D","\C_IMAGES\200132_00_1_p1.TIF"
000078,1,1048634,"200134","A","A","C","D","D","C","B","D","C","C","B","C","C","B","D","C","D","C","B","B","A","C","A","D","D","C","D","A","B","C","D","C","C","B","B","C","A","C","D","C","\C_IMAGES\200134_00_1_p1.TIF"
000033,1,1048580,"200136","A","A","D","A","D","C","B","D","C","C","D","C","C","B","D","A","D","C","B","B","A","C","A","A","D","B","A","A","B","D","C","A","C","D","B","B","D","D","D","A","\C_IMAGES\200136_00_1_p1.TIF"
000032,1,1048580,"200137","A","A","D","A","C","C","B","D","C","C","D","C","C","B","D","B","D","C","A","B","B","C","A","C","D","B","A","A","C","D","C","A","C","C","D","C","D","D","D","B","\C_IMAGES\200137_00_1_p1.TIF"
000031,1,1048580,"200138","A","A","C","C","A","C","B","D","C","C","A","C","B","B","D","A","D","C","B","B","A","B","A","D","D","D","A","A","B","D","B","A","C","C","C","B","A","C","C","A","\C_IMAGES\200138_00_1_p1.TIF"
000028,1,1048580,"200140","A","B","C","C","D","C","B","D","C","C","A","C","B","B","D","A","D","C","B","B","A","B","A","D","D","D","A","A","B","D","B","A","C","C","C","B","A","C","C","D","\C_IMAGES\200140_00_1_p1.TIF"
000029,1,1048580,"200142","A","A","C","D","C","C","B","D","A","B","D","C","C","B","D","C","D","C","B","B","C","C","A","C","D","B","A","A","B","D","B","A","B","D","B","C","C","C","D","C","\C_IMAGES\200142_00_1_p1.TIF"
000030,1,1048580,"200144","A","A","D","D","C","C","B","D","A","B","D","C","C","B","D","C","D","D","B","B","C","C","A","C","D","B","A","A","B","D","B","A","B","D","B","C","C","C","D","C","\C_IMAGES\200144_00_1_p1.TIF"
000034,1,1048580,"200146","A","D","","A","C","C","B","D","C","C","C","C","C","D","B","A","D","C","B","B","C","C","A","D","B","A","C","B","B","D","B","A","C","D","B","B","B","C","B","C","\C_IMAGES\200146_00_1_p1.TIF"
000035,1,1048580,"200148","A","A","C","A","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","D","D","B","C","A","B","D","C","B","C","D","B","C","C","C","D","C","\C_IMAGES\200148_00_1_p1.TIF"
000036,1,1048580,"200149","A","D","C","D","C","C","B","D","A","C","D","C","C","B","D","A","D","C","B","B","D","D","B","C","D","B","D","C","B","D","D","A","C","C","B","D","C","C","D","A","\C_IMAGES\200149_00_1_p1.TIF"
000037,1,1048580,"200150","A","D","C","D","C","C","B","D","A","C","D","C","C","B","D","A","D","C","B","B","C","C","A","A","D","B","D","C","B","D","D","A","C","C","B","D","A","D","D","A","\C_IMAGES\200150_00_1_p1.TIF"
000038,1,1048580,"200151","A","C","D","B","C","C","B","D","C","C","D","C","C","B","D","C","D","C","B","B","B","C","A","D","D","A","B","A","B","D","B","A","C","D","B","B","C","D","C","C","\C_IMAGES\200151_00_1_p1.TIF"
000039,1,1048580,"200152","A","A","C","D","C","B","B","D","C","D","C","C","C","B","D","A","D","C","B","C","B","C","A","D","D","D","D","A","B","D","B","A","C","D","B","B","C","D","C","C","\C_IMAGES\200152_00_1_p1.TIF"
000040,1,1048580,"200153","A","B","D","D","C","C","B","D","C","C","D","C","C","D","B","C","A","A","B","B","C","D","A","C","D","C","D","A","B","C","B","A","C","C","B","B","D","B","D","A","\C_IMAGES\200153_00_1_p1.TIF"
000041,1,1048580,"200154","A","C","A","D","A","B","B","D","C","C","D","C","C","D","D","A","D","C","B","B","C","C","A","C","D","B","A","A","B","D","B","A","C","D","D","C","C","B","D","B","\C_IMAGES\200154_00_1_p1.TIF"
000042,1,1048580,"200155","A","A","C","D","C","C","B","A","C","C","D","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","C","B","D","B","A","C","C","B","B","D","D","D","C","\C_IMAGES\200155_00_1_p1.TIF"
000043,1,1048580,"200156","A","C","D","C","C","C","B","D","C","C","C","C","B","B","B","C","D","C","A","B","B","C","D","C","D","B","B","A","A","D","B","A","C","D","B","C","A","C","D","C","\C_IMAGES\200156_00_1_p1.TIF"
000044,1,1048580,"200157","A","A","A","D","C","C","B","D","C","C","B","B","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","A","C","D","C","\C_IMAGES\200157_00_1_p1.TIF"
000045,1,1048580,"200158","A","A","C","A","D","C","B","D","C","C","A","C","C","B","D","A","C","C","B","B","C","C","A","D","B","B","A","A","A","A","A","A","C","A","C","C","B","C","A","C","\C_IMAGES\200158_00_1_p1.TIF"
000019,1,1048580,"200159","A","C","D","D","D","C","B","D","C","C","C","C","C","D","D","C","D","D","A","B","A","C","A","D","D","B","B","A","D","D","B","A","C","A","D","A","A","B","D","C","\C_IMAGES\200159_00_1_p1.TIF"
000020,1,1048580,"200160","B","B","C","A","C","C","B","D","C","C","C","C","C","B","A","A","D","C","B","B","B","D","A","C","D","B","C","A","B","D","D","A","C","C","B","B","D","C","C","C","\C_IMAGES\200160_00_1_p1.TIF"
000021,1,1048580,"200161","C","C","D","A","C","B","B","D","C","C","A","C","C","D","B","C","C","A","B","B","B","C","D","B","A","C","A","B","A","D","D","C","C","C","D","C","D","C","B","B","\C_IMAGES\200161_00_1_p1.TIF"
000022,1,1048580,"200162","A","A","C","A","D","C","B","C","D","D","D","C","C","A","D","A","A","D","B","B","A","C","A","C","D","C","B","C","A","D","A","B","C","C","B","B","D","D","D","C","\C_IMAGES\200162_00_1_p1.TIF"
000023,1,1048580,"200163","A","A","C","B","C","C","B","D","C","B","A","C","C","B","D","C","D","C","B","A","A","C","A","C","D","B","D","A","B","D","C","B","C","D","B","B","C","D","B","C","\C_IMAGES\200163_00_1_p1.TIF"
000024,1,1048580,"200164","A","A","C","A","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","A","C","C","A","B","D","B","B","A","B","D","B","A","C","D","A","B","A","C","D","C","\C_IMAGES\200164_00_1_p1.TIF"
000013,1,1048580,"200167","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","B","B","B","B","B","C","A","D","D","B","B","A","B","D","B","A","C","A","B","B","C","D","D","C","\C_IMAGES\200167_00_1_p1.TIF"
000014,1,1048580,"200168","A","A","C","D","C","C","B","D","C","C","B","C","C","B","B","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","A","D","A","\C_IMAGES\200168_00_1_p1.TIF"
000015,1,1048580,"200170","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","C","D","D","B","B","B","C","A","D","D","B","D","B","B","D","D","A","C","D","B","C","D","D","C","A","\C_IMAGES\200170_00_1_p1.TIF"
000016,1,1048580,"200171","A","D","D","C","D","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","C","C","D","A","D","B","D","A","B","D","B","A","C","D","B","C","C","C","D","C","\C_IMAGES\200171_00_1_p1.TIF"
000017,1,1048580,"200172","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","C","D","D","B","B","C","D","D","B","B","B","C","D","D","D","B","B","B","B","D","D","A","C","D","B","\C_IMAGES\200172_00_1_p1.TIF"
000018,1,1048580,"200173","A","A","A","D","C","C","B","D","C","C","C","C","C","D","B","C","D","C","B","B","B","C","A","C","D","B","A","A","B","C","C","A","B","D","A","A","D","C","C","A","\C_IMAGES\200173_00_1_p1.TIF"
000046,1,1048580,"200174","A","C","D","A","C","B","B","A","C","C","C","C","A","D","D","C","D","C","B","B","C","D","D","C","B","A","B","B","B","D","A","A","B","C","C","C","C","B","C","B","\C_IMAGES\200174_00_1_p1.TIF"
000047,1,1048580,"200175","A","D","D","C","D","B","D","D","C","C","D","C","C","B","D","C","D","D","B","B","C","C","D","C","D","D","D","A","B","D","D","B","C","D","D","B","C","B","A","D","\C_IMAGES\200175_00_1_p1.TIF"
000048,1,1048580,"200176","A","C","D","C","D","D","B","D","C","B","C","B","C","B","D","C","D","D","B","D","A","C","A","C","D","C","D","A","B","D","B","C","B","D","A","B","C","B","A","C","\C_IMAGES\200176_00_1_p1.TIF"
000049,1,1048580,"200177","A","D","C","C","C","B","B","D","","C","D","C","C","A","C","C","D","C","B","C","C","","C","","B","C","B","D","B","D","B","B","B","C","C","B","C","C","A","D","\C_IMAGES\200177_00_1_p1.TIF"
000050,1,1048580,"200178","A","A","C","A","A","C","C","D","C","C","C","C","C","B","D","B","D","C","B","B","A","B","A","B","D","B","A","D","A","B","B","A","C","C","B","C","A","D","D","C","\C_IMAGES\200178_00_1_p1.TIF"
000051,1,1048580,"200179","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","D","B","D","C","D","B","\C_IMAGES\200179_00_1_p1.TIF"
000052,1,1048580,"200180","A","D","D","C","A","C","B","D","C","A","A","C","C","D","D","C","C","C","A","B","A","B","A","C","D","A","A","D","B","D","B","A","B","C","B","A","D","D","C","C","\C_IMAGES\200180_00_1_p1.TIF"
000055,1,1048580,"200181","A","A","A","D","C","B","B","D","C","C","A","B","B","B","D","A","D","C","B","B","A","C","A","D","D","B","D","A","A","D","D","C","C","C","B","B","C","C","D","C","\C_IMAGES\200181_00_1_p1.TIF"
000053,1,1048580,"200182","A","D","D","C","B","C","B","D","C","C","D","C","C","A","A","A","C","C","B","B","A","C","A","C","D","D","B","C","A","D","B","C","C","D","A","C","A","B","D","C","\C_IMAGES\200182_00_1_p1.TIF"
000054,1,1048580,"200183","A","D","C","A","C","C","B","D","C","C","C","C","C","B","A","A","D","C","B","B","B","D","A","C","D","B","C","A","B","D","D","A","C","C","B","B","D","C","D","C","\C_IMAGES\200183_00_1_p1.TIF"
000261,1,1048830,"200184","A","C","C","D","C","C","B","D","C","C","B","C","C","B","B","A","D","C","C","B","C","C","A","C","D","C","C","A","B","D","B","A","C","C","B","B","A","C","D","C","\C_IMAGES\200184_00_1_p1.TIF"
000262,1,1048830,"200185","A","C","C","D","C","C","B","D","C","C","B","C","A","B","D","A","D","B","C","B","C","C","A","C","D","B","A","C","B","D","B","A","C","C","B","B","A","C","D","C","\C_IMAGES\200185_00_1_p1.TIF"
000263,1,1048830,"200186","A","A","A","D","C","C","B","D","B","C","B","B","C","B","B","A","A","D","B","B","A","C","A","C","D","B","D","A","B","D","B","B","C","D","B","B","D","C","B","C","\C_IMAGES\200186_00_1_p1.TIF"
000264,1,1048830,"200187","A","A","A","C","C","B","B","D","C","C","D","A","C","B","D","A","A","D","B","B","B","C","A","B","D","B","D","A","B","D","A","A","B","D","D","B","C","A","D","C","\C_IMAGES\200187_00_1_p1.TIF"
000265,1,1048830,"200188","A","C","A","D","D","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","A","D","B","B","A","B","B","D","A","C","D","D","C","C","D","B","A","\C_IMAGES\200188_00_1_p1.TIF"
000266,1,1048830,"200189","A","B","C","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","C","A","A","D","C","A","C","D","D","C","D","C","D","C","\C_IMAGES\200189_00_1_p1.TIF"
000267,1,1048830,"200190","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","D","B","C","C","D","C","\C_IMAGES\200190_00_1_p1.TIF"
000268,1,1048830,"200191","A","A","A","A","D","C","B","D","C","C","C","C","C","B","B","A","D","C","B","B","B","D","A","A","D","C","C","A","B","D","C","A","C","C","B","B","A","C","B","A","\C_IMAGES\200191_00_1_p1.TIF"
000269,1,1048830,"200192","A","A","C","D","C","C","B","D","C","C","D","C","C","B","D","A","A","C","B","B","A","C","A","A","D","B","D","B","A","D","C","A","C","D","B","B","C","C","D","C","\C_IMAGES\200192_00_1_p1.TIF"
000270,1,1048830,"200193","A","B","D","A","A","C","B","D","C","C","B","C","D","B","B","C","D","A","B","B","B","C","A","D","D","B","D","A","B","D","A","A","C","D","D","A","A","B","B","C","\C_IMAGES\200193_00_1_p1.TIF"
000271,1,1048830,"200194","A","A","C","D","D","C","B","D","C","C","C","C","C","A","D","C","D","A","B","B","C","C","A","C","D","C","A","A","D","D","B","A","C","C","A","B","A","C","D","C","\C_IMAGES\200194_00_1_p1.TIF"
000272,1,1048830,"200195","A","C","C","D","C","C","B","D","C","C","D","C","C","B","D","A","C","D","B","B","A","C","A","C","D","B","D","A","A","D","C","A","C","D","C","B","C","C","A","C","\C_IMAGES\200195_00_1_p1.TIF"
000273,1,1048830,"200196","A","C","C","D","C","C","B","D","B","C","D","C","C","B","D","A","C","D","B","B","A","C","A","C","D","B","D","A","A","D","C","B","C","D","C","B","C","C","A","C","\C_IMAGES\200196_00_1_p1.TIF"
000274,1,1048830,"200197","A","C","C","D","C","C","D","D","C","C","D","B","C","B","B","C","D","C","B","B","A","B","A","C","D","C","D","A","A","D","C","A","C","D","B","C","B","D","B","C","\C_IMAGES\200197_00_1_p1.TIF"
000281,1,1048830,"200198","A","C","C","D","C","C","B","D","C","C","C","C","C","B","B","A","C","C","B","B","B","C","A","D","D","B","D","A","A","D","C","A","C","C","B","C","C","C","D","C","\C_IMAGES\200198_00_1_p1.TIF"
000280,1,1048830,"200199","A","D","A","A","C","C","B","D","C","C","C","C","C","B","B","C","D","C","B","B","A","C","A","D","D","B","C","A","A","D","C","A","C","D","B","C","C","C","B","C","\C_IMAGES\200199_00_1_p1.TIF"
000279,1,1048830,"200200","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","A","C","B","A","B","C","A","D","D","B","A","B","B","D","B","A","C","A","D","C","A","C","C","A","\C_IMAGES\200200_00_1_p1.TIF"
000278,1,1048830,"200201","A","A","B","D","C","C","B","D","C","C","A","C","C","D","C","C","C","C","B","D","A","C","A","C","D","B","A","C","B","D","B","A","C","B","B","B","C","C","D","C","\C_IMAGES\200201_00_1_p1.TIF"
000277,1,1048830,"200202","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","A","C","B","D","A","C","A","C","D","B","A","D","B","D","B","B","C","D","B","B","C","C","D","C","\C_IMAGES\200202_00_1_p1.TIF"
000276,1,1048830,"200203","A","A","A","D","D","C","B","D","C","C","B","C","C","B","D","C","A","C","D","B","B","C","A","D","D","B","D","C","B","D","B","B","C","B","C","A","C","C","B","B","\C_IMAGES\200203_00_1_p1.TIF"
000275,1,1048830,"200204","A","A","C","A","D","C","B","D","C","C","D","C","C","B","D","A","D","C","B","D","A","C","A","C","D","D","D","A","B","D","C","A","C","C","D","B","C","C","B","C","\C_IMAGES\200204_00_1_p1.TIF"
000288,1,1048830,"200205","A","A","A","D","C","B","B","D","C","C","B","C","C","B","D","A","D","A","B","B","A","C","A","B","D","B","C","A","A","D","A","A","C","C","B","B","D","C","D","C","\C_IMAGES\200205_00_1_p1.TIF"
000287,1,1048830,"200206","A","A","D","D","C","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","C","C","D","C","D","B","A","C","B","D","C","A","C","C","B","C","A","A","D","C","\C_IMAGES\200206_00_1_p1.TIF"
000286,1,1048830,"200207","A","A","C","A","C","C","B","D","C","C","A","C","C","B","B","C","D","C","B","A","C","D","A","A","D","B","B","A","C","D","B","A","C","B","B","B","C","C","D","C","\C_IMAGES\200207_00_1_p1.TIF"
000285,1,1048830,"200208","A","A","B","D","C","C","B","D","C","C","A","C","C","B","C","C","C","C","B","D","A","C","A","C","D","B","A","C","B","D","B","B","C","D","B","B","C","C","D","C","\C_IMAGES\200208_00_1_p1.TIF"
000284,1,1048830,"200209","A","D","D","C","D","C","B","D","C","C","D","B","C","B","D","C","D","A","A","B","C","D","A","A","D","D","B","A","A","C","D","A","C","D","D","B","D","B","D","B","\C_IMAGES\200209_00_1_p1.TIF"
000283,1,1048830,"200210","A","C","C","D","D","B","B","D","C","C","A","C","C","B","B","C","A","C","D","B","A","C","A","D","D","B","D","A","D","D","B","A","","C","B","B","A","C","D","A","\C_IMAGES\200210_00_1_p1.TIF"
000282,1,1048830,"200211","A","A","C","D","D","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","A","D","B","D","A","B","D","B","A","C","C","B","B","D","C","C","C","\C_IMAGES\200211_00_1_p1.TIF"
000289,1,1048830,"200212","A","A","C","A","D","D","B","D","C","C","C","C","C","D","B","A","D","C","B","B","C","C","A","D","D","B","D","A","B","C","D","A","C","A","D","C","B","D","C","C","\C_IMAGES\200212_00_1_p1.TIF"
000290,1,1048830,"200213","A","C","C","D","C","C","B","D","C","C","C","C","B","D","B","A","D","C","C","B","C","C","D","C","D","B","B","A","C","C","C","A","C","C","","C","A","A","D","C","\C_IMAGES\200213_00_1_p1.TIF"
000291,1,1048830,"200214","A","B","B","D","A","C","D","D","C","C","C","C","C","D","B","D","D","C","B","D","C","C","D","C","D","B","B","A","C","C","C","A","C","C","D","C","A","A","D","C","\C_IMAGES\200214_00_1_p1.TIF"
000292,1,1048830,"200215","A","C","D","D","D","C","D","D","C","C","C","C","C","A","D","C","D","A","B","B","C","C","A","A","D","B","D","A","B","D","C","A","C","A","C","C","D","C","D","C","\C_IMAGES\200215_00_1_p1.TIF"
000293,1,1048830,"200216","A","C","A","D","C","B","B","D","D","C","B","C","B","D","B","A","D","C","B","B","A","D","A","C","A","C","C","D","A","D","D","A","C","B","D","C","D","C","B","A","\C_IMAGES\200216_00_1_p1.TIF"
000294,1,1048830,"200217","A","A","C","C","C","C","B","D","C","B","B","C","C","B","A","B","C","C","B","B","C","C","A","C","D","D","C","A","B","D","D","A","C","C","B","B","C","C","B","C","\C_IMAGES\200217_00_1_p1.TIF"
000295,1,1048830,"200218","A","B","A","A","D","C","B","D","C","C","D","C","C","B","D","C","D","C","A","B","A","C","A","B","D","B","D","A","B","D","B","A","B","B","B","B","C","C","A","C","\C_IMAGES\200218_00_1_p1.TIF"
